iter	MultiClass
0	1.078984424
1	1.06281122
2	1.048145192
3	1.036059104
4	1.025815848
5	1.017086034
6	1.009391674
7	1.003106444
8	0.9969922845
9	0.9914515508
10	0.9865179573
11	0.9823522426
12	0.9786147248
13	0.9750959044
14	0.9714405586
15	0.9684965366
16	0.9654201827
17	0.9630946957
18	0.9609706982
19	0.9587788311
20	0.9568373554
21	0.9551280717
22	0.953420626
23	0.9518992264
24	0.9504625396
25	0.9492919658
26	0.9481217186
27	0.9469273968
28	0.945807127
29	0.9448547756
30	0.9438169556
31	0.9429310159
32	0.9420453734
33	0.9412302066
34	0.940508675
35	0.9398912881
36	0.9390687005
37	0.9384816037
38	0.9378861179
39	0.9372339168
40	0.9366613838
41	0.9361460783
42	0.9357953965
43	0.9351745226
44	0.9346568146
45	0.9343166115
46	0.9339288983
47	0.9333992897
48	0.9331523427
49	0.932786979
50	0.9324591772
51	0.9321127873
52	0.9317951818
53	0.9315119002
54	0.9312535158
55	0.9309260199
56	0.9306308353
57	0.930522584
58	0.930211294
59	0.9298292138
60	0.9294552278
61	0.9292063783
62	0.9289379025
63	0.9286962366
64	0.9284582995
65	0.928284761
66	0.9281594409
67	0.9278977269
68	0.9275611105
69	0.9273236022
70	0.9272690119
71	0.9269962506
72	0.9267321702
73	0.9265763114
74	0.9264266455
75	0.9262557293
76	0.9260830392
77	0.925920182
78	0.9257860692
79	0.9256582119
80	0.9255875048
81	0.9254442568
82	0.9253181438
83	0.9251879425
84	0.9250288697
85	0.9248928529
86	0.9246173173
87	0.9244533894
88	0.9241635943
89	0.9239839735
90	0.9238780562
91	0.9237602408
92	0.92360542
93	0.9234020696
94	0.923281078
95	0.9232149051
96	0.9230653283
97	0.9229966077
98	0.9228027212
99	0.9226775487
100	0.9226595905
101	0.9224875536
102	0.9223231232
103	0.9222264453
104	0.9220657929
105	0.9219924055
106	0.9217908998
107	0.9216892584
108	0.9215605116
109	0.921421489
110	0.9213717881
111	0.9212795244
112	0.9211984314
113	0.9211468092
114	0.9210780009
115	0.9209684913
116	0.9208739069
117	0.9207025444
118	0.9205192301
119	0.9204288081
120	0.9203349002
121	0.9201400389
122	0.9199537453
123	0.9197499553
124	0.9196124757
125	0.919541994
126	0.9194193995
127	0.9193035775
128	0.9191202868
129	0.9189161656
130	0.9187021464
131	0.9185420996
132	0.9184524985
133	0.9183202572
134	0.9182031149
135	0.9180526095
136	0.9179000442
137	0.9177473866
138	0.9176046244
139	0.9174812693
140	0.9174066591
141	0.9172596324
142	0.9170597334
143	0.9169475236
144	0.9167962401
145	0.9166643337
146	0.9165855353
147	0.9164343099
148	0.9163522842
149	0.9162128783
150	0.916079911
151	0.9159282799
152	0.9157906211
153	0.9156327262
154	0.9155128657
155	0.9154280179
156	0.9152342565
157	0.9151540001
158	0.9149896355
159	0.9148502898
160	0.9147806721
161	0.9146330551
162	0.9145430309
163	0.9144710959
164	0.9143618267
165	0.9142901781
166	0.9142183036
167	0.9141528552
168	0.9140960785
169	0.9139289081
170	0.9138375677
171	0.9137282855
172	0.9136525432
173	0.913596747
174	0.913518509
175	0.9134330513
176	0.9133685871
177	0.9132832157
178	0.9132101101
179	0.9131421264
180	0.9130118743
181	0.9129029626
182	0.9128000038
183	0.9127282275
184	0.9126605161
185	0.912573227
186	0.9124844286
187	0.9124568455
188	0.9124147894
189	0.9123597666
190	0.9122652512
191	0.9122134138
192	0.912094009
193	0.9119829913
194	0.9119538169
195	0.9118684509
196	0.9118260596
197	0.9117573804
198	0.9116993987
199	0.9116181873
200	0.9115694555
201	0.9115120484
202	0.9114800852
203	0.9114181885
204	0.9113180702
205	0.9112725139
206	0.9112154529
207	0.9111430477
208	0.9110804638
209	0.9109727138
210	0.9109150974
211	0.9108739851
212	0.9108014689
213	0.9107177235
214	0.9106436259
215	0.9105365023
216	0.9104980247
217	0.9103681887
218	0.9102967872
219	0.910262431
220	0.9101497755
221	0.9100963872
222	0.910060474
223	0.9100001771
224	0.9099753053
225	0.9098898738
226	0.9098216319
227	0.9097855664
228	0.909697647
229	0.909618515
230	0.9095265382
231	0.9094741573
232	0.9094221628
233	0.9093477103
234	0.9092779933
235	0.909238228
236	0.9091820252
237	0.909088437
238	0.9090281978
239	0.9089703854
240	0.9089071543
241	0.9087883035
242	0.9087469723
243	0.9087180081
244	0.9086855946
245	0.9086450073
246	0.9085877886
247	0.9085255744
248	0.9084694473
249	0.9084237908
250	0.9083988684
251	0.908320269
252	0.9082619835
253	0.9082335263
254	0.9082233968
255	0.9081424948
256	0.9080432661
257	0.9080000382
258	0.9079286436
259	0.9078627632
260	0.9078373542
261	0.9077533327
262	0.9077200951
263	0.9076406346
264	0.9075311832
265	0.9074619098
266	0.9073964706
267	0.9073500305
268	0.9073370171
269	0.9072914513
270	0.9072276574
271	0.9071773792
272	0.9071583876
273	0.9070971335
274	0.9070254239
275	0.9069529137
276	0.9068946361
277	0.9067828364
278	0.9067050195
279	0.906660387
280	0.9065704773
281	0.9065401116
282	0.9064875271
283	0.9064210206
284	0.9063760575
285	0.9063139374
286	0.9062556041
287	0.9061671741
288	0.9061146519
289	0.9060470315
290	0.9060171644
291	0.9059421238
292	0.9058853027
293	0.9058538164
294	0.9057847562
295	0.9057281608
296	0.90570104
297	0.9056264005
298	0.9055663913
299	0.9055018602
300	0.9054387178
301	0.9054048101
302	0.9053896305
303	0.9053196401
304	0.9053037864
305	0.9052668585
306	0.9052226291
307	0.9051408286
308	0.9051158001
309	0.9050803809
310	0.9050396602
311	0.9049847225
312	0.9049272705
313	0.9048553293
314	0.904796576
315	0.9047548814
316	0.9046726999
317	0.9046098618
318	0.9045804896
319	0.9045223638
320	0.9044608882
321	0.9043827644
322	0.9042923486
323	0.9042568853
324	0.9041800847
325	0.904138619
326	0.9040558228
327	0.9039879339
328	0.9039379659
329	0.9038823095
330	0.9038434425
331	0.9037748873
332	0.9037184736
333	0.9036565964
334	0.9035853928
335	0.9035314303
336	0.9034743707
337	0.9033992516
338	0.9033243446
339	0.9032872837
340	0.9032179125
341	0.9031987032
342	0.9031627924
343	0.9030664728
344	0.903021457
345	0.902952733
346	0.9028983445
347	0.9028404653
348	0.9027987882
349	0.9027250885
350	0.902648086
351	0.9025757459
352	0.9025232451
353	0.9024489311
354	0.9023761082
355	0.9023073884
356	0.9022614058
357	0.902218024
358	0.9021743138
359	0.9020976859
360	0.9020430797
361	0.9019769617
362	0.901882965
363	0.9018511737
364	0.9018060097
365	0.9017122859
366	0.9016457965
367	0.9016164645
368	0.9015003343
369	0.9014464548
370	0.9013970107
371	0.9013447542
372	0.9012939394
373	0.9012244802
374	0.9012163632
375	0.9011476596
376	0.9010907296
377	0.901009706
378	0.9009476079
379	0.9008980148
380	0.9008570454
381	0.9007855928
382	0.9007624902
383	0.9006923433
384	0.9006548065
385	0.9006041326
386	0.9005707883
387	0.9005147698
388	0.9004416988
389	0.9003869471
390	0.9003636247
391	0.9002764922
392	0.9002128079
393	0.9001692461
394	0.9000646627
395	0.9000119022
396	0.8999801008
397	0.8999585621
398	0.8999401994
